cod_ibge,cod_mun6,nome_mun,ano,pop,casos
3533106,353310,Nova Guataporanga,2014,2178,1
3533205,353320,Nova Independência,2014,3574,10
3533254,353325,Novais,2014,4550,7
3533304,353330,Nova Luzitânia,2014,3289,13
3533403,353340,Nova Odessa,2014,54921,629
3533502,353350,Novo Horizonte,2014,37268,21
3533601,353360,Nuporanga,2014,7003,3
3533700,353370,Ocauçu,2014,4225,6
3533809,353380,Óleo,2014,2625,1
3533908,353390,Olímpia,2014,51935,135
3534005,353400,Onda Verde,2014,4177,2
3534104,353410,Oriente,2014,6135,11
3534203,353420,Orindiúva,2014,5820,1
3534302,353430,Orlândia,2014,39564,37
3534401,353440,Osasco,2014,691781,6582
3534500,353450,Oscar Bressane,2014,2537,19
3534609,353460,Osvaldo Cruz,2014,31168,17
3534708,353470,Ourinhos,2014,104001,217
3534757,353475,Ouroeste,2014,9094,36
3534807,353480,Ouro Verde,2014,7861,34
3534906,353490,Pacaembu,2014,13829,18
3535002,353500,Palestina,2014,11206,10
3535101,353510,Palmares Paulista,2014,10563,5
3535200,353520,Palmeira d'Oeste,2014,9399,58
3535309,353530,Palmital,2014,20791,79
3535408,353540,Panorama,2014,14844,32
3535507,353550,Paraguaçu Paulista,2014,42069,174
3535606,353560,Paraibuna,2014,17580,6
3535705,353570,Paraíso,2014,5999,7
3535804,353580,Paranapanema,2014,18356,1
3535903,353590,Paranapuã,2014,3894,40
3536000,353600,Parapuã,2014,10804,33
3536109,353610,Pardinho,2014,6140,0
3536208,353620,Pariquera-Açu,2014,18758,19
3536257,353625,Parisi,2014,2305,148
3536307,353630,Patrocínio Paulista,2014,13562,20
3536406,353640,Paulicéia,2014,6909,64
3536505,353650,Paulínia,2014,91351,1019
3536570,353657,Paulistânia,2014,1875,0
3536604,353660,Paulo de Faria,2014,8263,4
3536703,353670,Pederneiras,2014,42791,74
3536802,353680,Pedra Bela,2014,6034,5
3536901,353690,Pedranópolis,2014,2657,30
3537008,353700,Pedregulho,2014,15682,13
3537107,353710,Pedreira,2014,42224,1368
3537156,353715,Pedrinhas Paulista,2014,2891,11
3537206,353720,Pedro de Toledo,2014,10640,3
3537305,353730,Penápolis,2014,59687,292
3537404,353740,Pereira Barreto,2014,24913,39
3537503,353750,Pereiras,2014,7864,5
3537602,353760,Peruíbe,2014,62928,316
3537701,353770,Piacatu,2014,5426,50
3537800,353780,Piedade,2014,52540,5
3537909,353790,Pilar do Sul,2014,26929,2
3538006,353800,Pindamonhangaba,2014,153532,2888
3538105,353810,Pindorama,2014,14956,14
3538204,353820,Pinhalzinho,2014,13815,7
3538303,353830,Piquerobi,2014,3470,3
3538501,353850,Piquete,2014,13688,5
3538600,353860,Piracaia,2014,25515,18
3538709,353870,Piracicaba,2014,384963,932
3538808,353880,Piraju,2014,28919,4
3538907,353890,Pirajuí,2014,22716,16
3539004,353900,Pirangi,2014,10724,39
3539103,353910,Pirapora do Bom Jesus,2014,16513,77
3539202,353920,Pirapozinho,2014,24995,26
3539301,353930,Pirassununga,2014,71442,104
3539400,353940,Piratininga,2014,13088,0
3539509,353950,Pitangueiras,2014,35002,47
3539608,353960,Planalto,2014,4475,35
3539707,353970,Platina,2014,3170,9
3539806,353980,Poá,2014,106156,26
3539905,353990,Poloni,2014,5488,3
3540002,354000,Pompéia,2014,20114,106
3540101,354010,Pongaí,2014,3463,0
3540200,354020,Pontal,2014,39481,121
3540259,354025,Pontalinda,2014,4110,8
3540309,354030,Pontes Gestal,2014,2511,46
3540408,354040,Populina,2014,4231,2
3540507,354050,Porangaba,2014,9070,17
3540606,354060,Porto Feliz,2014,51484,129
3540705,354070,Porto Ferreira,2014,52042,838
3540754,354075,Potim,2014,19778,130
3540804,354080,Potirendaba,2014,16477,40
